NCT Number,Study Title,Study URL,Acronym,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Other Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Start Date,Primary Completion Date,Completion Date,First Posted,Results First Posted,Last Update Posted,Locations,Study Documents
NCT01034787,Study of AntiCTLA4 in Patients With Unresectable or Metastatic Uveal Melanoma,https://clinicaltrials.gov/study/NCT01034787,,COMPLETED,"This is a Phase 2, multi-center, open-label study in patients with surgically incurable stage III or IV uveal melanoma who have not received prior immunotherapy. CP-675,206 is thought to stimulate patients' immune systems to attack their tumors. CP-675,206 has been shown to induce durable tumor responses in patients with metastatic melanoma in phase 1 and phase 2 clinical studies.",NO,Uveal Melanoma,"DRUG: CP-675,206","Progression-free survival at 6 months after initiation of CP-675,206, A 6-month progression free survivor will be defined as a patient who is alive and who has not progressed at 6 months or more post treatment., 6 months","Objective tumor response, Duration of Objective response (CR or PR) for responding patients will be measured from the date of registration to the date of progression or death due to progressive disease, whichever occurs first. In addition, the Duration of Complete Response will be measured from the date that a CR was first documented to the date of progression or death due to progressive disease, whichever occurs first., overall|Durable response, Durable response is defined as an objective tumor response that last 6 or more months, 6 or more months|Median survival and overall survival, • Overall Survival (OS) is defined as the time from the date of registration to date of death by any cause. In the absence of confirmation of death, survival time will be censored at the last date the patient was known to be alive., overall|Adverse events and tolerability, Following the first dose, adverse events should be continuously assessed and documented during the study reporting period. Adverse events will be followed up to and including the End of Treatment visit. Additionally, all adverse events with a causal relationship to the study drug must be followed until the event and its sequalae have resolved, returned to baseline, been deemed irreversible, or until the patient dies., overall",,AHS Cancer Control Alberta,,ALL,"ADULT, OLDER_ADULT",PHASE2,11,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,TBCC 905001,2009-08-17,2017-08-08,2017-08-08,2009-12-17,,2017-10-27,"Tom Baker Cancer Centre, Calgary, Alberta, T2N4N2, Canada|Cross Cancer Institute, Edmonton, Alberta, T6G 1Z2, Canada|Princess Margaret Hospital, Toronto, Ontario, M5G 2M9, Canada",
NCT02583893,Biomarkers in Predicting Treatment Response to Sirolimus and Chemotherapy in Patients With High-Risk Acute Myeloid Leukemia,https://clinicaltrials.gov/study/NCT02583893,,COMPLETED,"This pilot phase II trial studies whether biomarkers (biological molecules) in bone marrow samples can predict treatment response to sirolimus and chemotherapy (mitoxantrone hydrochloride, etoposide, and cytarabine \[MEC\]) in patients with acute myeloid leukemia (AML) that is likely to come back or spread (high-risk). Sirolimus inhibits or blocks the pathway that causes cancer cells to grow. Adding sirolimus to standard chemotherapy may help improve patient response. Studying samples of bone marrow from patients treated with sirolimus in the laboratory may help doctors learn whether sirolimus reverses or turns off that pathway and whether changes in biomarker levels can predict how well patients will respond to treatment.",YES,Recurrent Adult Acute Myeloid Leukemia|Secondary Acute Myeloid Leukemia|Untreated Adult Acute Myeloid Leukemia,DRUG: Sirolimus|DRUG: Mitoxantrone|DRUG: Etoposide|DRUG: Cytarabine,"Biochemical Response, Defined by change in phosphorylated ribosomal protein S6 (pS6) positive blasts, measured as the % reduction in pS6 positive blasts from baseline to day 4. Biochemical response will be described by mean, median, standard deviation, range and coefficient of variation. The association between biochemical response and clinical response will be tested by Fisher's exact test., Baseline to day 4|Clinical Response, Clinical response was assessed at Day 45 using IWG criteria: Complete Remission (CR), CR with incomplete platelet recovery (CRp), CR with incomplete hematologic recovery (CRi), Partial Remission (PR), or No Response (NR). CR requires normalized blood counts and bone marrow blasts \<5%. CRp meets CR except platelet recovery; CRi meets CR except incomplete neutrophil/platelet recovery. PR is ≥50% reduction in marrow blasts to 5-25% with partial blood count improvement. NR indicates failure to meet these criteria. Tumor response per RECIST v1.0: CR = disappearance of all target lesions; PR = ≥30% decrease in sum of longest diameters; Overall Response = CR + PR. Progression = ≥20% increase in sum of longest diameters, measurable increase in non-target lesion, or new lesions., Day 45","Overall Response Rate (ORR) (Complete Response [CR], CR With Incomplete Platelet Recovery [CRp], or Partial Response), Fraction of patients who achieve CR, CRp, or PR will be assessed. ORR and 95% exact confidence interval will be computed for all patients and for sensitive and resistant subgroups., Day 45|Relapse Free Survival (RFS), RFS will be estimated by the Kaplan-Meier method. A landmark analysis of RFS by clinical response (CR+CRp, CRi, PR or no response \[NR\]) will be computed from day 45 marrow assessment. Median values and 95% confidence intervals will be calculated., Time from study entry to first documented progression, death, or last contact, assessed up to 2 years|Percentage of Participants by Risk Group, Overall Survival (OS) is defined as the time from study entry to death or last contact. OS will be analyzed by risk groups: Favorable, Intermediate, and Poor/Adverse, based on baseline factors such as cytogenetics, molecular markers, and clinical characteristics. These risk groups are used to predict clinical outcomes, with favorable indicating longer survival expectancy, intermediate suggesting moderate outcomes, and poor/adverse indicating more aggressive disease with lower survival rates. Results will be reported as the percentage of participants in each risk category., Up to 2 years",,Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,,ALL,"ADULT, OLDER_ADULT",PHASE2,39,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: BASIC_SCIENCE,15D.377|2013-087|NCI-2015-01507|JT 5530,2015-10-07,2023-04-17,2023-05-17,2015-10-22,2026-05-29,2026-05-29,"Thomas Jefferson University, Philadelphia, Pennsylvania, 19107, United States","Study Protocol and Statistical Analysis Plan, https://cdn.clinicaltrials.gov/large-docs/93/NCT02583893/Prot_SAP_000.pdf"
NCT00208793,Calcium and Vitamin D vs Markers of Adenomatous Polyps,https://clinicaltrials.gov/study/NCT00208793,CaDvMAP,COMPLETED,"The purpose of this study is to test whether calcium and/or vitamin D supplementation favorably affects a set of biomarkers of risk for colon cancer in persons who are at higher than average risk for colon cancer (ie, have already undergone the removal of adenomatous polyps, which are known to be precursors to developing colon cancer).",NO,Colorectal Adenomatous Polyps,DIETARY_SUPPLEMENT: Calcium and vitamin D3 combined|DRUG: Placebo|DIETARY_SUPPLEMENT: Calcium|DIETARY_SUPPLEMENT: Vitamin D3,"Biomarkers of Risk for Colorectal Neoplasms, A panel of putative biomarkers of risk for colorectal neoplasms in biopsies of normal appearing rectal mucosa: COX-2, APC, MSH-2, MLH1, MIB-1, telomerase, p21, bcl-2, bax, bak, β-catenin, E-cadherin, TGFα, TGFβ1, calcium sensing receptor, vitamin D receptor, CYP27B1, CYP24, 8-OH-dG, 6 months","Vitamin D metabolites, serum 25-OH-vitamin D3 and 1,25-OH-vitamin D3, 6 months|Circulating inflammation markers, serum CRP, TNF-α, IL-6, IL-1β, IL-8 and IL-10, 6 months",,Emory University,National Institutes of Health (NIH)|National Cancer Institute (NCI),ALL,"ADULT, OLDER_ADULT",PHASE2,92,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED | Intervention Model: FACTORIAL | Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR) | Primary Purpose: PREVENTION",0126-2004|R01CA104637,2005-05,2006-09,2013-02,2005-09-21,,2013-11-26,"The Emory Clinic, Division of Digestive Diseases, Atlanta, Georgia, 30322, United States",
NCT01949714,Effect of Chronic Catecholamine Overproduction on Brown Adipose Tissue,https://clinicaltrials.gov/study/NCT01949714,,COMPLETED,"* To investigate the effect of catecholamine excess on brown fat.
* To evaluate the effect of brown fat on energy expenditure and lipid and glucose metabolism",NO,Pheochromocytoma|Adrenal Incidentaloma,PROCEDURE: Removal of adrenal tumor,"[18F]FDG uptake in brown adipose tissue, 3 months",,,University of Aarhus,,ALL,"ADULT, OLDER_ADULT",,10,OTHER,OBSERVATIONAL,Observational Model: CASE_ONLY | Time Perspective: CROSS_SECTIONAL,ES-0005,2013-08,2022-01,2022-01,2013-09-24,,2022-05-23,"Department of Endocrinology MEA, Aarhus Hospital, Aarhus C, Please Select, 8000, Denmark",
NCT04566614,Preventing Viral Pandemic Associated Risk of Cancer Death Using Less Invasive Diagnostic Tests- Liquid Biopsies,https://clinicaltrials.gov/study/NCT04566614,PREVAILctDNA,COMPLETED,"The purpose of this study is to investigate the feasibility of using ctDNA to support cancer diagnosis and risk stratification where invasive aerosol generating testing (and/or tissue biopsy) is challenging due to infection risk, technical impracticalities and resource limitations, such as during the COVID-19 pandemic and the subsequent recovery period.",NO,"Neoplasm, Colorectal|Neoplasm of Lung|Neoplasm, Bladder|Neoplasms Pancreatic|Biliary Tract Neoplasms|Gastro Intestinal Stromal Tumour",OTHER: ctDNA blood sampling,"ctDNA detection rate within different cancer types (and overall), The primary endpoint, ctDNA detection rate, overall and within different cancer types will be presented as a proportion of patients with a positive ctDNA test out of those tested, with 90% confidence intervals, Throughout study completion, up to one year|PREVAIL ctDNA Part 2 Study, Primary end point, Proportion of patients with detectable ctDNA which supports a diagnosis of malignancy and commence treatment, To run parallel for 12 months alongside the ACCESS implementation programme","Proportion of patients with a positive ctDNA result which identified a diagnosis and/or commenced treatment, All secondary endpoints will be analysed in the patients diagnosed with suspected cancer, i.e. positive ctDNA result, unless stated. They will also be presented overall and by cancer type. The proportion of patients with positive ctDNA result which identified a diagnosis and/or commenced treatment will be presented as a proportion with 90% confidence intervals, Throughout study completion, up to one year|Proportion of patients with a positive ctDNA result which assisted in prioritising invasive diagnostic tests, Proportion of patients with positive ctDNA result which assisted in prioritising invasive diagnostic tests will be presented as a proportion with 90% confidence intervals, Throughout study completion, up to one year|The association of ctDNA result (positive versus negative) and the PREVAIL-imaging pathway scoring result, The association between ctDNA result (positive versus negative) and the PREVAIL-imaging pathway scoring result will be assessed descriptively by presenting cross-tabulations and relevant proportions, Throughout study completion, up to one year|Estimation of the cost of liquid biopsy in lieu of tissue biopsy as compared to standard of care investigations and treatments prioritisation, Simple estimation of the cost of liquid biopsy in lieu of tissue biopsy as compared to standard of care investigations and treatments prioritisation will be performed, Throughout study completion, up to one year|PREVAIL ctDNA Part 2 Study secondary end point 1a, Treatment response objective response rate, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 1b, Progression free survival, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 1c, Overall survival, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 2, Proportion of patients who undergo a repeated invasive procedure, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 3a- comparison with NHS targets, Comparison of diagnostic pathway duration with NHS faster Diagnostic Standard (FDS), To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 3b- comparison with NHS targets, Comparison of diagnostic pathway duration with 62 day wait target, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 4a, Type of complications from invasive diagnostic procedures, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 4b, Frequency of complications from invasive diagnostic procedures, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 4c, Severity of complications from invasive diagnostic procedures, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 5, Number and type of invasive procedures performed, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 5b, Number of histopathology reviews, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 5c, Number of tissue based NGS performed, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 6a, Healthcare costs associated with diagnostic pathway, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 6b, Cost per-quality adjusted-life-year of diagnostic pathway, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 6c, Number of hospital visits in diagnostic pathway, To run parallel for 12 months alongside the ACCESS implementation programme|PREVAIL ctDNA Part 2 Study secondary end point 6d, Length of hospital stay during diagnostic pathway, To run parallel for 12 months alongside the ACCESS implementation programme",,Royal Marsden NHS Foundation Trust,,ALL,"ADULT, OLDER_ADULT",,128,OTHER,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,CCR 5292,2020-06-18,2023-07-31,2025-01-31,2020-09-28,,2025-04-06,"Royal Marsden Hospital, Sutton, Surrey, SM2 5PT, United Kingdom",
NCT03076216,A Pilot Study of OncoSil™ Given to Patients With Pancreatic Cancer Treated With Gemcitabine +/- Nab-paclitaxel.,https://clinicaltrials.gov/study/NCT03076216,OncoPaC-1,COMPLETED,"To evaluate the safety of OncoSil™ in a patient population undergoing standard chemotherapy treatment for pancreatic cancer. This study has been designed to satisfy FDA regulatory requirements.

The clinical investigation will be conducted at approximately 5 sites in the United States involving 20 patients.",NO,Unresectable Locally Advanced Pancreatic Carcinoma,DEVICE: OncoSil™,"Safety / Tolerability of Device as determined by the number of treatment emergent adverse events (TEAEs) evaluated according to CTCAE V4.0, as determined by the number of treatment emergent adverse events (TEAEs) evaluated according to CTCAE V4.0, Collected from the of signed informed consent until patient death or 104 weeks post last patient enrollment date, whichever is sooner]","Local Progression free survival within the pancreas, As assessed by the central reader review of successive CT scans throughout the study, Assessed from Baseline through to first confirmed CT documentation of local progression within the pancreas, an average of 12 months|Progression free survival - entire body, As assessed by the central reader review of successive CT scans throughout the study, Assessed from Baseline through to EOS visit - an average of 12 months|Overall survival, As assessed by the time from participant consent to participant death or their survival to 104 weeks past the first study visit on the last subject enrolled in the study., Assessed from Baseline to 104 weeks post last patient first study visit]|Body weight, Measurement of subject body weight at each study visit, Assessed from Baseline through to EOS visit, an average of 12 months|Impaired function, as measured by changes in the Karnofsky Performance Status from screening, Measured at each study visit for the duration of the study, an average of 12 months|Pain Scores, Pain as measured by the numerical rating scale (NRS) at each study visit, Measured at each study visit for the duration of the study, an average of 12 months","Tumor Response, as demonstrated by target tumour volumetric change (measured by a central reading centre), Baseline measure from screening period, compared to Week 8 CT result, and then to 8 weekly CT results until local progression is determined, an average of 12 months",OncoSil Medical Limited,,ALL,"ADULT, OLDER_ADULT",NA,9,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,ONC01P01,2017-08-01,2020-11-28,2020-11-28,2017-03-10,,2021-07-13,"Cedars Sinai Department of Radiation Oncology, Los Angeles, California, 90048, United States|Moffitt Cancer Centre, Tampa, Florida, 33612, United States|Johns Hopkins Hospital, Baltimore, Maryland, 21287, United States|MD Anderson Cancer Center, Houston, Texas, 77030, United States",
NCT00288106,S0437 Long-Term Follow-Up of Patients Who Were Diagnosed With Prostate Cancer on PCPT,https://clinicaltrials.gov/study/NCT00288106,,TERMINATED,"RATIONALE: Learning about the long-term effects of chemoprevention drugs, such as finasteride, in patients with prostate cancer may help doctors plan better treatment and follow-up care.

PURPOSE: This clinical trial is following patients who were diagnosed with prostate cancer while undergoing treatment with either finasteride or a placebo on the Prostate Cancer Prevention Trial (PCPT).",NO,Prostate Cancer,OTHER: Follow-up,"Time to metastases, Up to 8 years post registration","Time to secondary therapy after definitive therapy, Definitive therapy is defined as radiotherapy or radical prostatectomy., Up to 8 years post registration|Time to PSA recurrence after definitive therapy, Definitive therapy is defined as radiotherapy or radical prostatectomy., Up to 8 years post registration|All cause and prostate cancer-specific mortality, Measured in a time-to-event analysis, Up to 8 years post registration","Predictive value of prognostic biomarkers, To enhance the follow-up for the evaluation of the prognostic biomarkers, which are measured outside the scope of this protocol, on the risk of metastatic disease., Up to 8 years post registration",SWOG Cancer Research Network,National Cancer Institute (NCI),MALE,"ADULT, OLDER_ADULT",,961,NETWORK,OBSERVATIONAL,Observational Model: COHORT | Time Perspective: PROSPECTIVE,CDR0000466341|U10CA012027|S0437,2005-09,2009-05,2009-05,2006-02-07,,2015-09-30,"Michael and Dianne Bienes Comprehensive Cancer Center at Holy Cross Hospital, Fort Lauderdale, Florida, 33308, United States|Ella Milbank Foshay Cancer Center at Jupiter Medical Center, Jupiter, Florida, 33458, United States|CCOP - Mount Sinai Medical Center, Miami Beach, Florida, 33140, United States|Decatur Memorial Hospital Cancer Care Institute, Decatur, Illinois, 62526, United States|Regional Cancer Center at Memorial Medical Center, Springfield, Illinois, 62781-0001, United States|St. Francis Hospital and Health Centers - Beech Grove Campus, Beech Grove, Indiana, 46107, United States|Reid Hospital & Health Care Services, Richmond, Indiana, 47374, United States|Fairview Ridges Hospital, Burnsville, Minnesota, 55337, United States|Mercy and Unity Cancer Center at Mercy Hospital, Coon Rapids, Minnesota, 55433, United States|Fairview Southdale Hospital, Edina, Minnesota, 55435, United States|Mercy and Unity Cancer Center at Unity Hospital, Fridley, Minnesota, 55432, United States|Minnesota Oncology Hematology, PA - Maplewood, Maplewood, Minnesota, 55109, United States|Virginia Piper Cancer Institute at Abbott - Northwestern Hospital, Minneapolis, Minnesota, 55407, United States|Hubert H. Humphrey Cancer Center at North Memorial Outpatient Center, Robbinsdale, Minnesota, 55422-2900, United States|CCOP - Metro-Minnesota, Saint Louis Park, Minnesota, 55416, United States|Park Nicollet Cancer Center, Saint Louis Park, Minnesota, 55416, United States|United Hospital, Saint Paul, Minnesota, 55102, United States|St. Francis Cancer Center at St. Francis Medical Center, Shakopee, Minnesota, 55379, United States|Ridgeview Medical Center, Waconia, Minnesota, 55387, United States|Minnesota Oncology Hematology, PA - Woodbury, Woodbury, Minnesota, 55125, United States|University of Mississippi Cancer Clinic, Jackson, Mississippi, 39216, United States|Randolph Hospital, Asheboro, North Carolina, 27203-5400, United States|Moses Cone Regional Cancer Center at Wesley Long Community Hospital, Greensboro, North Carolina, 27403-1198, United States|Annie Penn Cancer Center, Reidsville, North Carolina, 27320, United States|Mary Rutan Hospital, Bellefontaine, Ohio, 43311, United States|Adena Regional Medical Center, Chillicothe, Ohio, 45601, United States|Riverside Methodist Hospital Cancer Care, Columbus, Ohio, 43214-3998, United States|CCOP - Columbus, Columbus, Ohio, 43215, United States|Grant Medical Center Cancer Care, Columbus, Ohio, 43215, United States|Mount Carmel Health - West Hospital, Columbus, Ohio, 43222, United States|Doctors Hospital at Ohio Health, Columbus, Ohio, 43228, United States|Grandview Hospital, Dayton, Ohio, 45405, United States|Good Samaritan Hospital, Dayton, Ohio, 45406, United States|Samaritan North Cancer Care Center, Dayton, Ohio, 45415, United States|Veterans Affairs Medical Center - Dayton, Dayton, Ohio, 45428, United States|CCOP - Dayton, Dayton, Ohio, 45429, United States|Grady Memorial Hospital, Delaware, Ohio, 43015, United States|Blanchard Valley Medical Associates, Findlay, Ohio, 45840, United States|Middletown Regional Hospital, Franklin, Ohio, 45005-1066, United States|Charles F. Kettering Memorial Hospital, Kettering, Ohio, 45429, United States|Fairfield Medical Center, Lancaster, Ohio, 43130, United States|Strecker Cancer Center at Marietta Memorial Hospital, Marietta, Ohio, 45750, United States|Licking Memorial Cancer Care Program at Licking Memorial Hospital, Newark, Ohio, 43055, United States|Mercy Medical Center, Springfield, Ohio, 45504, United States|Community Hospital of Springfield and Clark County, Springfield, Ohio, 45505, United States|UVMC Cancer Care Center at Upper Valley Medical Center, Troy, Ohio, 45373-1300, United States|Mount Carmel St. Ann's Cancer Center, Westerville, Ohio, 43081, United States|Clinton Memorial Hospital, Wilmington, Ohio, 45177, United States|Ruth G. McMillan Cancer Center at Greene Memorial Hospital, Xenia, Ohio, 45385, United States|Genesis - Good Samaritan Hospital, Zanesville, Ohio, 43701, United States|Oregon Health and Science University Cancer Institute, Portland, Oregon, 97239-3098, United States|Danville Regional Medical Center, Danville, Virginia, 24541, United States",
NCT06971406,High-Dose Firmonertinib Combined With Bevacizumab and Intrathecal Pemetrexed in the Treatment of EGFR-Mutated Non-Small Cell Lung Cancer With Leptomeningeal Metastasis,https://clinicaltrials.gov/study/NCT06971406,FLAME-1,NOT_YET_RECRUITING,"Primary Objective:

To evaluate the efficacy of high-dose firmonertinib combined with bevacizumab and intrathecal pemetrexed in EGFR Ex19del/L858R-mutated non-small cell lung cancer (NSCLC) with leptomeningeal metastasis (LM), as measured by Overall Survival (OS).

Secondary Objectives:

1. To assess the efficacy of this regimen in EGFR Ex20ins/PACC/L861Q-mutated NSCLC with LM.
2. To further evaluate therapeutic outcomes across cohorts, including:

   * Time to Treatment Failure (TTF)
   * Leptomeningeal Objective Response Rate (ORR-LM)
   * Clinical Response Rate
3. To analyze the impact of this regimen on \*quality of life\* using standardized metrics:

   * EORTC QLQ-C30
   * EORTC QLQ-LC13
4. To assess safety profiles across cohorts, focusing on:

   * Incidence and severity of adverse events (AEs) graded per \*CTCAE v5.0\*
   * Frequency of treatment-related toxicities

Exploratory Objectives:

To investigate correlations between dynamic changes in:

* Plasma-derived circulating tumor DNA (ctDNA)
* Cerebrospinal fluid-derived cell-free DNA (cfDNA) and clinical outcomes through comparative analysis of genomic profiling and epigenetic signatures before and after treatment.",NO,Non Small Cell Lung Cancer|EGFR Mutation|Leptomeningeal Metastases|Targeted Therapy,DRUG: Combination therapy prospective cohort,"OS（EGFR Ex19del/L858R）, overall survive time （EGFR Ex19del/L858R）, the time between the date of enrollment and the date of death from any cause for EGFR Ex19del/L858R NSCLC with leptomeningeal metastases(up to 36 months)","OS（EGFREx20ins/PACC/L861Q）, overall survive time（EGFREx20ins/PACC/L861Q）, the time between the date of enrollment and the date of death from any cause for EGFREx20ins/PACC/L861Q NSCLC with leptomeningeal metastases(up to 36 months)|TTF, time to treatment failure:The time interval from the start of the triple therapy to treatment failure, up to 24 months|ORR-LM, Objective Response Rate in Leptomeningeal Metastases：the proportion of patients whose leptomeningeal lesions achieve a complete response (CR) or partial response (PR) during the study period from the first administration of the study drug until leptomeningeal disease progression, up to 24 months|CRR, Clinical response rate：the proportion of patients whose CR, OR, or PR lasts for at least one week, up to 24 months|Quality of life assessment (EORTC QLQ-C30, EORTC QLQ-LC13), EORTC QLQ-C30(European Organization for Research and Treatment of Cancer Quality of Life Core Questionnaire - 30 items, score:30-126, Higher scores indicate worse quality of life) and EORTC QLQ-LC13(European Organization for Research and Treatment of Cancer Quality of Life Lung Module 13 items) were used to assess the quality of life, scores were normalized to 0-100, with high scores in the symptom domain indicating severe symptoms and high scores in the functional domain indicating good functioning, At the end of every 2 cycles(each cycle is 21 days)|AE, AEs (Adverse events)were graded according to CTCAE v5.0 every two cycles after enrollment, At the end of every 2 cycles(each cycle is 21 days)",,Qiming Wang,,ALL,"ADULT, OLDER_ADULT",PHASE2,100,OTHER_GOV,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2025-083,2025-05-15,2027-01-01,2027-06-01,2025-05-14,,2025-05-14,,
NCT03373006,A Phase II Study to Evaluate Axumin PET/CT for Risk Stratification for Prostate Cancer,https://clinicaltrials.gov/study/NCT03373006,,COMPLETED,To investigate the utility of fluciclovine F 18 for evaluation for metastatic disease in men undergoing laser focal therapy of prostate cancer and the impact on inclusion for a focal therapy cohort.,YES,Prostate Cancer,DRUG: Axumin PET/CT,"Detection of Metastases, Number of patients with detection of metastasis

Secondary Outcome Measure Description: Number of patients with local uptake of Axumin, One day",,,HALO Diagnostics,,MALE,"ADULT, OLDER_ADULT",PHASE2,20,INDUSTRY,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: DIAGNOSTIC,DMI Axumin-001|Protocol. No: 20171334|Study No: 1176339,2018-02-27,2020-01-30,2020-01-30,2017-12-14,2020-06-04,2022-05-25,"Desert Medical Imaging, Indian Wells, California, 92210, United States","Study Protocol, https://cdn.clinicaltrials.gov/large-docs/06/NCT03373006/Prot_002.pdf|Informed Consent Form, https://cdn.clinicaltrials.gov/large-docs/06/NCT03373006/ICF_001.pdf"
NCT01656304,Bevacizumab in Treating Patients With Relapsed Prostate Cancer That Did Not Respond to Hormone Therapy,https://clinicaltrials.gov/study/NCT01656304,,COMPLETED,"This pilot phase II trial studies how well giving bevacizumab works in treating patients with relapsed prostate cancer that did not respond to hormone therapy. Monoclonal antibodies, such as bevacizumab, can block tumor growth in different ways. Some block the ability of tumor cells to grow and spread. Others find tumor cells and help kill them or tumor-killing substances to them. Bevacizumab may also stop the growth of prostate cancer by blocking blood flow to the tumor",YES,Adenocarcinoma of the Prostate|Recurrent Prostate Cancer|Stage I Prostate Cancer|Stage IIA Prostate Cancer|Stage IIB Prostate Cancer|Stage III Prostate Cancer,BIOLOGICAL: bevacizumab|OTHER: laboratory biomarker analysis,"PSA Response Rate With Bevacizumab Therapy in Androgen Independent Non-metastatic Prostate Cancer, A PSA response will be considered a PSA decline of at least 50% must be confirmed by a second PSA value four or more weeks later. The reference PSA for these declines should be a PSA measured within 2 weeks prior to the initiation of therapy. Response rates will be summarized by point estimates and Wilson type 80% confidence intervals., An average every 6 weeks for up to 3 months|Toxicities Associated With Bevacizumab Therapy, Toxicity rates will be summarized by point estimates and Wilson type 90% confidence intervals. Toxicities will be graded per the National Cancer Institute (NCI) Common Toxicity Criteria (CTC), and PSA response will be determined as per PSA Working Group response criteria. Censored time to PSA progression will be estimated with standard Kaplan-Meier methodology., An average of every 2 weeks while on therapy|Time to PSA Progression (TTPP), TTPP will be measured from protocol registration to appearance of PSA progression as defined by the criteria of the PSA Working Group response criteria. The end point for progression will be calculated at the time a 25% increase in PSA has been achieved. PSA velocity will also be calculated as change in PSA doubling time pre and post therapy and the rate of PSA rise pre- and post-therapy., An average every 6 weeks for up to 3 months","Overall Survival of Androgen Independent Non-metastatic Prostate Cancer Patients Treated With Bevacizumab, Overall survival of androgen independent non-metastatic prostate cancer patients treated with bevacizumab. The number of patients still alive at the end of the study (median K-M estimate cannot be obtained due to the 86.7% censoring rate)., Every 3 months|The Change in PSA Velocity With Bevacizumab Therapy in Androgen Independent Non-metastatic Prostate Cancer, PSA velocity with bevacizumab therapy in androgen independent non-metastatic prostate cancer pre-therapy, as well as, PSA velocity with bevacizumab therapy while on therapy., Baseline, every 6 weeks while on therapy, and then every 3 months thereafter|Time to Distant Metastatic Disease, Time to distant metastatic disease using the Kaplan-Meier method, Every 3 months",,Barbara Ann Karmanos Cancer Institute,"Genentech, Inc.",ALL,"ADULT, OLDER_ADULT",PHASE2,16,OTHER,INTERVENTIONAL,Allocation: NA | Intervention Model: SINGLE_GROUP | Masking: NONE | Primary Purpose: TREATMENT,2006-064|NCI-2011-00661,2007-05,2012-01,2012-06,2012-08-02,2014-07-08,2018-07-31,"Barbara Ann Karmanos Cancer Institute, Detroit, Michigan, 48201, United States|Henry Ford Hospital, Detroit, Michigan, 48202, United States",
